Scientific_Name,Genus,Species,Infraspecific
Abies balsamea,Abies,balsamea,
Abies grandis,Abies,grandis,
Abutilon theophrasti,Abutilon,theophrasti,
Acalypha australis,Acalypha,australis,
Acalypha gracilens,Acalypha,gracilens,
Acalypha rhomboidea,Acalypha,rhomboidea,
Acalypha setosa,Acalypha,setosa,
Acalypha virginica,Acalypha,virginica,
Acanthospermum australe,Acanthospermum,australe,
Acanthospermum hispidum,Acanthospermum,hispidum,
Acer campestre,Acer,campestre,
Acer ginnala,Acer,ginnala,
Acer negundo,Acer,negundo,var. ?
Acer negundo var. negundo,Acer,negundo,var. negundo
Acer nigrum,Acer,nigrum,
Acer palmatum,Acer,palmatum,
Acer pensylvanicum,Acer,pensylvanicum,
Acer platanoides,Acer,platanoides,
Acer pseudoplatanus,Acer,pseudoplatanus,
Acer rubrum,Acer,rubrum,
Acer rubrum,Acer,rubrum,var. ?
Acer rubrum var. rubrum,Acer,rubrum,var. rubrum
Acer rubrum var. trilobum,Acer,rubrum,var. trilobum
Acer rubrum × A. saccharinum = A. ×freemanii,Acer,rubrum × A. saccharinum = A. ×freemanii,
Acer saccharinum,Acer,saccharinum,
Acer saccharum,Acer,saccharum,
Acer spicatum,Acer,spicatum,
Achillea ageratum,Achillea,ageratum,
Achillea filipendulina,Achillea,filipendulina,
Achillea millefolium,Achillea,millefolium,
Achillea nobilis,Achillea,nobilis,
Achillea ptarmica,Achillea,ptarmica,
Acmispon americanus,Acmispon,americanus,var. ?
Acmispon americanus var. americanus,Acmispon,americanus,var. americanus
Aconitum napellus,Aconitum,napellus,
Aconitum noveboracense,Aconitum,noveboracense,
Acorus americanus,Acorus,americanus,
Acorus calamus,Acorus,calamus,
Actaea pachypoda,Actaea,pachypoda,
Actaea pachypoda × A. rubra = A. ×ludovici,Actaea,pachypoda × A. rubra = A. ×ludovici,
Actaea racemosa,Actaea,racemosa,
Actaea rubra,Actaea,rubra,
Actinidia arguta,Actinidia,arguta,
Actinidia polygama,Actinidia,polygama,
Adiantum capillus-veneris,Adiantum,capillus-veneris,
Adiantum pedatum,Adiantum,pedatum,
Adlumia fungosa,Adlumia,fungosa,
Adonis aestivalis,Adonis,aestivalis,
Adoxa moschatellina,Adoxa,moschatellina,
Aegilops crassa,Aegilops,crassa,
Aegilops cylindrica,Aegilops,cylindrica,
Aegilops geniculata,Aegilops,geniculata,
Aegilops tauschii,Aegilops,tauschii,
Aegilops triuncialis,Aegilops,triuncialis,var. ?
Aegilops triuncialis var. triuncialis,Aegilops,triuncialis,var. triuncialis
Aegopodium podagraria,Aegopodium,podagraria,
Aesculus flava,Aesculus,flava,
Aesculus glabra,Aesculus,glabra,var. ?
Aesculus glabra var. glabra,Aesculus,glabra,var. glabra
Aesculus hippocastanum,Aesculus,hippocastanum,
Aesculus parviflora,Aesculus,parviflora,
Aethusa cynapium,Aethusa,cynapium,
Agalinis decemloba,Agalinis,decemloba,
Agalinis maritima,Agalinis,maritima,var. ?
Agalinis maritima var. maritima,Agalinis,maritima,var. maritima
Agalinis paupercula,Agalinis,paupercula,
Agalinis purpurea,Agalinis,purpurea,
Agalinis setacea,Agalinis,setacea,
Agalinis tenuifolia,Agalinis,tenuifolia,
Agastache foeniculum,Agastache,foeniculum,
Agastache nepetoides,Agastache,nepetoides,
Agastache scrophulariifolia,Agastache,scrophulariifolia,
Ageratina altissima,Ageratina,altissima,
Ageratina aromatica,Ageratina,aromatica,
Ageratum houstonianum,Ageratum,houstonianum,
Agrimonia eupatoria,Agrimonia,eupatoria,
Agrimonia gryposepala,Agrimonia,gryposepala,
Agrimonia parviflora,Agrimonia,parviflora,
Agrimonia pubescens,Agrimonia,pubescens,
Agrimonia rostellata,Agrimonia,rostellata,
Agrimonia striata,Agrimonia,striata,
Agropyron cristatum,Agropyron,cristatum,
Agrostemma githago,Agrostemma,githago,var. ?
Agrostemma githago var. githago,Agrostemma,githago,var. githago
Agrostis canina,Agrostis,canina,
Agrostis capillaris,Agrostis,capillaris,
Agrostis gigantea,Agrostis,gigantea,
Agrostis hyemalis,Agrostis,hyemalis,
Agrostis mertensii,Agrostis,mertensii,
Agrostis perennans,Agrostis,perennans,
Agrostis scabra,Agrostis,scabra,
Agrostis stolonifera,Agrostis,stolonifera,
Ailanthus altissima,Ailanthus,altissima,
Aira caryophyllea,Aira,caryophyllea,var. ?
Aira caryophyllea var. caryophyllea,Aira,caryophyllea,var. caryophyllea
Aira praecox,Aira,praecox,
Aizopsis aizoon,Aizopsis,aizoon,
Aizopsis ellacombeana,Aizopsis,ellacombeana,ssp. ?
Aizopsis ellacombeana ssp. ellacombeana,Aizopsis,ellacombeana,ssp. ellacombeana
Aizopsis kamtschatica,Aizopsis,kamtschatica,
Ajuga genevensis,Ajuga,genevensis,
Ajuga reptans,Ajuga,reptans,
Akebia quinata,Akebia,quinata,
Albizia julibrissin,Albizia,julibrissin,
Alcea rosea,Alcea,rosea,
Alchemilla micans,Alchemilla,micans,
Alchemilla monticola,Alchemilla,monticola,
Aldrovanda vesiculosa,Aldrovanda,vesiculosa,
Aletris farinosa,Aletris,farinosa,
Alisma gramineum,Alisma,gramineum,
Alisma subcordatum,Alisma,subcordatum,
Alisma triviale,Alisma,triviale,
Alkekengi officinarum,Alkekengi,officinarum,
Alliaria petiolata,Alliaria,petiolata,
Allium burdickii,Allium,burdickii,
Allium canadense,Allium,canadense,var. ?
Allium canadense var. canadense,Allium,canadense,var. canadense
Allium cepa,Allium,cepa,
Allium cernuum,Allium,cernuum,
Allium neapolitanum,Allium,neapolitanum,
Allium porrum,Allium,porrum,
Allium sativum,Allium,sativum,var. ?
Allium sativum var. ophioscorodon,Allium,sativum,var. ophioscorodon
Allium schoenoprasum,Allium,schoenoprasum,
Allium sphaerocephalon,Allium,sphaerocephalon,
Allium tricoccum,Allium,tricoccum,
Allium tuberosum,Allium,tuberosum,
Allium vineale,Allium,vineale,
Alnus alnobetula,Alnus,alnobetula,ssp. ?
Alnus alnobetula ssp. crispa,Alnus,alnobetula,ssp. crispa
Alnus glutinosa,Alnus,glutinosa,
Alnus incana,Alnus,incana,ssp. ?
Alnus incana ssp. rugosa,Alnus,incana,ssp. rugosa
Alnus incana ssp. rugosa × A. serrulata = A. ×fallacina,Alnus,incana ssp. rugosa × A. serrulata = A. ×fallacina,ssp. ?
Alnus incana ssp. rugosa × A. serrulata = A. ×fallacina,Alnus,incana ssp. rugosa × A. serrulata = A. ×fallacina,ssp. rugosa × A. serrulata = A. ×fallacina
Alnus serrulata,Alnus,serrulata,
Alopecurus aequalis,Alopecurus,aequalis,var. ?
Alopecurus aequalis var. aequalis,Alopecurus,aequalis,var. aequalis
Alopecurus arundinaceus,Alopecurus,arundinaceus,
Alopecurus carolinianus,Alopecurus,carolinianus,
Alopecurus geniculatus,Alopecurus,geniculatus,
Alopecurus myosuroides,Alopecurus,myosuroides,
Alopecurus pratensis,Alopecurus,pratensis,
Alternanthera pungens,Alternanthera,pungens,
Althaea officinalis,Althaea,officinalis,
Alyssum alyssoides,Alyssum,alyssoides,
Alyssum murale,Alyssum,murale,
Amaranthus albus,Amaranthus,albus,
Amaranthus blitoides,Amaranthus,blitoides,
Amaranthus blitum,Amaranthus,blitum,
Amaranthus cannabinus,Amaranthus,cannabinus,
Amaranthus caudatus,Amaranthus,caudatus,
Amaranthus crispus,Amaranthus,crispus,
Amaranthus cruentus,Amaranthus,cruentus,
Amaranthus deflexus,Amaranthus,deflexus,
Amaranthus hybridus,Amaranthus,hybridus,ssp. ?
Amaranthus hybridus ssp. hybridus,Amaranthus,hybridus,ssp. hybridus
Amaranthus hypochondriacus,Amaranthus,hypochondriacus,
Amaranthus palmeri,Amaranthus,palmeri,
Amaranthus powellii,Amaranthus,powellii,ssp. ?
Amaranthus powellii ssp. powellii,Amaranthus,powellii,ssp. powellii
Amaranthus pumilus,Amaranthus,pumilus,
Amaranthus retroflexus,Amaranthus,retroflexus,
Amaranthus spinosus,Amaranthus,spinosus,
Amaranthus tuberculatus,Amaranthus,tuberculatus,
Amaranthus viridis,Amaranthus,viridis,
Amauriopsis pedata,Amauriopsis,pedata,
Amauropelta noveboracensis,Amauropelta,noveboracensis,
Ambrosia artemisiifolia,Ambrosia,artemisiifolia,
Ambrosia artemisiifolia × A. trifida = A. ×helenae,Ambrosia,artemisiifolia × A. trifida = A. ×helenae,
Ambrosia bidentata,Ambrosia,bidentata,
Ambrosia psilostachya,Ambrosia,psilostachya,
Ambrosia trifida,Ambrosia,trifida,
Amelanchier alnifolia,Amelanchier,alnifolia,
Amelanchier alnifolia × A. amabilis,Amelanchier,alnifolia × A. amabilis,
Amelanchier amabilis,Amelanchier,amabilis,
Amelanchier amabilis × A. arborea,Amelanchier,amabilis × A. arborea,
Amelanchier arborea,Amelanchier,arborea,
Amelanchier arborea × A. laevis = A. ×grandiflora,Amelanchier,arborea × A. laevis = A. ×grandiflora,
Amelanchier bartramiana,Amelanchier,bartramiana,
Amelanchier bartramiana × A. laevis = A. ×neglecta,Amelanchier,bartramiana × A. laevis = A. ×neglecta,
Amelanchier canadensis,Amelanchier,canadensis,var. ?
Amelanchier canadensis var. canadensis,Amelanchier,canadensis,var. canadensis
Amelanchier intermedia,Amelanchier,intermedia,
Amelanchier laevis,Amelanchier,laevis,
Amelanchier nantucketensis,Amelanchier,nantucketensis,
Amelanchier sanguinea,Amelanchier,sanguinea,
Amelanchier spicata,Amelanchier,spicata,
Amerorchis rotundifolia,Amerorchis,rotundifolia,
Amianthium muscitoxicum,Amianthium,muscitoxicum,
Ammannia coccinea,Ammannia,coccinea,
Amorpha fruticosa,Amorpha,fruticosa,
Ampelopsis aconitifolia,Ampelopsis,aconitifolia,
Ampelopsis cordata,Ampelopsis,cordata,
Ampelopsis glandulosa,Ampelopsis,glandulosa,
Amphiachyris dracunculoides,Amphiachyris,dracunculoides,
Amphicarpaea bracteata,Amphicarpaea,bracteata,
Amphicarpum amphicarpon,Amphicarpum,amphicarpon,
Amsinckia intermedia,Amsinckia,intermedia,
Amsinckia lycopsoides,Amsinckia,lycopsoides,
Amsinckia menziesii,Amsinckia,menziesii,
Amsonia illustris,Amsonia,illustris,
Amsonia tabernaemontana,Amsonia,tabernaemontana,
Anaphalis margaritacea,Anaphalis,margaritacea,
Anchistea virginica,Anchistea,virginica,
Anchusa arvensis,Anchusa,arvensis,
Anchusa azurea,Anchusa,azurea,
Anchusa officinalis,Anchusa,officinalis,
Andersonglossum boreale,Andersonglossum,boreale,
Andersonglossum virginianum,Andersonglossum,virginianum,
Andromeda polifolia,Andromeda,polifolia,var. ?
Andromeda polifolia var. latifolia,Andromeda,polifolia,var. latifolia
Andropogon gerardi,Andropogon,gerardi,
Andropogon glomeratus,Andropogon,glomeratus,var. ?
Andropogon glomeratus var. glomeratus,Andropogon,glomeratus,var. glomeratus
Andropogon virginicus,Andropogon,virginicus,var. ?
Andropogon virginicus var. virginicus,Andropogon,virginicus,var. virginicus
Androsace maxima,Androsace,maxima,
Anemone canadensis,Anemone,canadensis,
Anemone cylindrica,Anemone,cylindrica,
Anemone multifida,Anemone,multifida,var. ?
Anemone multifida var. multifida,Anemone,multifida,var. multifida
Anemone quinquefolia,Anemone,quinquefolia,var. ?
Anemone quinquefolia var. quinquefolia,Anemone,quinquefolia,var. quinquefolia
Anemone virginiana,Anemone,virginiana,
Anethum graveolens,Anethum,graveolens,
Angelica atropurpurea,Angelica,atropurpurea,
Angelica lucida,Angelica,lucida,
Angelica venenosa,Angelica,venenosa,
Anoda cristata,Anoda,cristata,
Antennaria howellii,Antennaria,howellii,
Antennaria howellii,Antennaria,howellii,ssp. ?
Antennaria howellii ssp. canadensis,Antennaria,howellii,ssp. canadensis
Antennaria howellii ssp. neodioica,Antennaria,howellii,ssp. neodioica
Antennaria howellii ssp. petaloidea,Antennaria,howellii,ssp. petaloidea
Antennaria neglecta,Antennaria,neglecta,
Antennaria parlinii,Antennaria,parlinii,
Antennaria parlinii,Antennaria,parlinii,ssp. ?
Antennaria parlinii ssp. fallax,Antennaria,parlinii,ssp. fallax
Antennaria parlinii ssp. parlinii,Antennaria,parlinii,ssp. parlinii
Antennaria plantaginifolia,Antennaria,plantaginifolia,
Anthemis arvensis,Anthemis,arvensis,
Anthemis cotula,Anthemis,cotula,
Anthoxanthum hirtum,Anthoxanthum,hirtum,
Anthoxanthum monticola,Anthoxanthum,monticola,ssp. ?
Anthoxanthum monticola ssp. monticola,Anthoxanthum,monticola,ssp. monticola
Anthoxanthum nitens,Anthoxanthum,nitens,ssp. ?
Anthoxanthum nitens ssp. nitens,Anthoxanthum,nitens,ssp. nitens
Anthoxanthum odoratum,Anthoxanthum,odoratum,
Anthoxanthum ovatum,Anthoxanthum,ovatum,var. ?
Anthoxanthum ovatum var. aristatum,Anthoxanthum,ovatum,var. aristatum
Anthriscus caucalis,Anthriscus,caucalis,
Anthriscus cerefolium,Anthriscus,cerefolium,
Anthriscus sylvestris,Anthriscus,sylvestris,
Anthyllis vulneraria,Anthyllis,vulneraria,
Anticlea elegans,Anticlea,elegans,var. ?
Anticlea elegans var. glauca,Anticlea,elegans,var. glauca
Antirrhinum majus,Antirrhinum,majus,
Apera interrupta,Apera,interrupta,
Apera spica-venti,Apera,spica-venti,
Aphanes australis,Aphanes,australis,
Aphyllon uniflorum,Aphyllon,uniflorum,
Apios americana,Apios,americana,
Apium graveolens,Apium,graveolens,
Aplectrum hyemale,Aplectrum,hyemale,
Apocynum androsaemifolium,Apocynum,androsaemifolium,
Apocynum androsaemifolium × A. cannabinum = A. ×floribundum,Apocynum,androsaemifolium × A. cannabinum = A. ×floribundum,
Apocynum cannabinum,Apocynum,cannabinum,
Aquilegia canadensis,Aquilegia,canadensis,
Aquilegia vulgaris,Aquilegia,vulgaris,
Arabidopsis lyrata,Arabidopsis,lyrata,ssp. ?
Arabidopsis lyrata ssp. lyrata,Arabidopsis,lyrata,ssp. lyrata
Arabidopsis thaliana,Arabidopsis,thaliana,
Arabis adpressipilis,Arabis,adpressipilis,
Arabis caucasica,Arabis,caucasica,
Arabis pycnocarpa,Arabis,pycnocarpa,
Aralia elata,Aralia,elata,
Aralia hispida,Aralia,hispida,
Aralia nudicaulis,Aralia,nudicaulis,
Aralia racemosa,Aralia,racemosa,
Aralia spinosa,Aralia,spinosa,
Arceuthobium pusillum,Arceuthobium,pusillum,
Arctium lappa,Arctium,lappa,
Arctium minus,Arctium,minus,
Arctostaphylos uva-ursi,Arctostaphylos,uva-ursi,
Arenaria serpyllifolia,Arenaria,serpyllifolia,
Arethusa bulbosa,Arethusa,bulbosa,
Argemone albiflora,Argemone,albiflora,ssp. ?
Argemone albiflora ssp. albiflora,Argemone,albiflora,ssp. albiflora
Argemone mexicana,Argemone,mexicana,
Arisaema dracontium,Arisaema,dracontium,
Arisaema pusillum,Arisaema,pusillum,
Arisaema stewardsonii,Arisaema,stewardsonii,
Arisaema stewardsonii × A. triphyllum,Arisaema,stewardsonii × A. triphyllum,
Arisaema triphyllum,Arisaema,triphyllum,
Aristida adscensionis,Aristida,adscensionis,
Aristida basiramea,Aristida,basiramea,
Aristida dichotoma,Aristida,dichotoma,var. ?
Aristida dichotoma var. dichotoma,Aristida,dichotoma,var. dichotoma
Aristida geniculata,Aristida,geniculata,
Aristida longespica,Aristida,longespica,
Aristida oligantha,Aristida,oligantha,
Aristida purpurascens,Aristida,purpurascens,var. ?
Aristida purpurascens var. purpurascens,Aristida,purpurascens,var. purpurascens
Aristida tuberculosa,Aristida,tuberculosa,
Aristolochia clematitis,Aristolochia,clematitis,
Armoracia rusticana,Armoracia,rusticana,
Arnica lanceolata,Arnica,lanceolata,ssp. ?
Arnica lanceolata ssp. lanceolata,Arnica,lanceolata,ssp. lanceolata
Arnoglossum atriplicifolium,Arnoglossum,atriplicifolium,
Arnoseris minima,Arnoseris,minima,
Aronia arbutifolia,Aronia,arbutifolia,
Aronia melanocarpa,Aronia,melanocarpa,
Aronia prunifolia,Aronia,prunifolia,
Arrhenatherum elatius,Arrhenatherum,elatius,ssp. ?
Arrhenatherum elatius ssp. elatius,Arrhenatherum,elatius,ssp. elatius
Artemisia abrotanum,Artemisia,abrotanum,
Artemisia absinthium,Artemisia,absinthium,
Artemisia annua,Artemisia,annua,
Artemisia biennis,Artemisia,biennis,
Artemisia campestris,Artemisia,campestris,ssp. ?
Artemisia campestris ssp. caudata,Artemisia,campestris,ssp. caudata
Artemisia carruthii,Artemisia,carruthii,
Artemisia dracunculus,Artemisia,dracunculus,
Artemisia frigida,Artemisia,frigida,
Artemisia ludoviciana,Artemisia,ludoviciana,ssp. ?
Artemisia ludoviciana ssp. ludoviciana,Artemisia,ludoviciana,ssp. ludoviciana
Artemisia pontica,Artemisia,pontica,
Artemisia serrata,Artemisia,serrata,
Artemisia stelleriana,Artemisia,stelleriana,
Artemisia tridentata,Artemisia,tridentata,ssp. ?
Artemisia tridentata ssp. tridentata,Artemisia,tridentata,ssp. tridentata
Artemisia umbelliformis,Artemisia,umbelliformis,
Artemisia vulgaris,Artemisia,vulgaris,
Arthraxon hispidus,Arthraxon,hispidus,var. ?
Arthraxon hispidus var. hispidus,Arthraxon,hispidus,var. hispidus
Arum italicum,Arum,italicum,ssp. ?
Arum italicum ssp. italicum,Arum,italicum,ssp. italicum
Aruncus dioicus,Aruncus,dioicus,var. ?
Aruncus dioicus var. vulgaris,Aruncus,dioicus,var. vulgaris
Asarum canadense,Asarum,canadense,
Asclepias amplexicaulis,Asclepias,amplexicaulis,
Asclepias amplexicaulis × A. syriaca = A. ×intermedia,Asclepias,amplexicaulis × A. syriaca = A. ×intermedia,
Asclepias exaltata,Asclepias,exaltata,
Asclepias incarnata,Asclepias,incarnata,
Asclepias incarnata,Asclepias,incarnata,ssp. ?
Asclepias incarnata ssp. incarnata,Asclepias,incarnata,ssp. incarnata
Asclepias incarnata ssp. pulchra,Asclepias,incarnata,ssp. pulchra
Asclepias purpurascens,Asclepias,purpurascens,
Asclepias quadrifolia,Asclepias,quadrifolia,
Asclepias rubra,Asclepias,rubra,
Asclepias syriaca,Asclepias,syriaca,
Asclepias tuberosa,Asclepias,tuberosa,
Asclepias variegata,Asclepias,variegata,
Asclepias verticillata,Asclepias,verticillata,
Asclepias viridiflora,Asclepias,viridiflora,
Asimina triloba,Asimina,triloba,
Asparagus officinalis,Asparagus,officinalis,
Asperugo procumbens,Asperugo,procumbens,
Asplenium bradleyi,Asplenium,bradleyi,
Asplenium montanum,Asplenium,montanum,
Asplenium pinnatifidum,Asplenium,pinnatifidum,
Asplenium platyneuron,Asplenium,platyneuron,
Asplenium platyneuron × A. rhizophyllum = A. ×ebenoides,Asplenium,platyneuron × A. rhizophyllum = A. ×ebenoides,
Asplenium rhizophyllum,Asplenium,rhizophyllum,
Asplenium ruta-muraria,Asplenium,ruta-muraria,
Asplenium scolopendrium,Asplenium,scolopendrium,var. ?
Asplenium scolopendrium var. americanum,Asplenium,scolopendrium,var. americanum
Asplenium trichomanes,Asplenium,trichomanes,
Asplenium trichomanes,Asplenium,trichomanes,ssp. ?
Asplenium trichomanes ssp. quadrivalens,Asplenium,trichomanes,ssp. quadrivalens
Asplenium trichomanes ssp. trichomanes,Asplenium,trichomanes,ssp. trichomanes
Asplenium viride,Asplenium,viride,
Astilbe japonica,Astilbe,japonica,
Astragalus canadensis,Astragalus,canadensis,var. ?
Astragalus canadensis var. canadensis,Astragalus,canadensis,var. canadensis
Astragalus glycyphyllos,Astragalus,glycyphyllos,
Astragalus neglectus,Astragalus,neglectus,
Athyrium angustum,Athyrium,angustum,
Athyrium asplenioides,Athyrium,asplenioides,
Athysanus pusillus,Athysanus,pusillus,
Atocion armeria,Atocion,armeria,
Atriplex argentea,Atriplex,argentea,
Atriplex dioica,Atriplex,dioica,
Atriplex glabriuscula,Atriplex,glabriuscula,
Atriplex hortensis,Atriplex,hortensis,
Atriplex mucronata,Atriplex,mucronata,
Atriplex patula,Atriplex,patula,
Atriplex prostrata,Atriplex,prostrata,
Atriplex rosea,Atriplex,rosea,
Atriplex serenana,Atriplex,serenana,var. ?
Atriplex serenana var. serenana,Atriplex,serenana,var. serenana
Atriplex tatarica,Atriplex,tatarica,
Aureolaria flava,Aureolaria,flava,
Aureolaria pedicularia,Aureolaria,pedicularia,
Aureolaria virginica,Aureolaria,virginica,
Aurinia petraea,Aurinia,petraea,
Aurinia saxatilis,Aurinia,saxatilis,ssp. ?
Aurinia saxatilis ssp. saxatilis,Aurinia,saxatilis,ssp. saxatilis
Avena fatua,Avena,fatua,
Avena sativa,Avena,sativa,
Avenella flexuosa,Avenella,flexuosa,
Axyris amaranthoides,Axyris,amaranthoides,
Azolla cristata,Azolla,cristata,
Baccharis halimifolia,Baccharis,halimifolia,
Ballota nigra,Ballota,nigra,ssp. ?
Ballota nigra ssp. foetida,Ballota,nigra,ssp. foetida
Baptisia australis,Baptisia,australis,var. ?
Baptisia australis var. australis,Baptisia,australis,var. australis
Baptisia lactea,Baptisia,lactea,
Baptisia tinctoria,Baptisia,tinctoria,
Barbarea stricta,Barbarea,stricta,
Barbarea verna,Barbarea,verna,
Barbarea vulgaris,Barbarea,vulgaris,
Bartonia paniculata,Bartonia,paniculata,ssp. ?
Bartonia paniculata ssp. paniculata,Bartonia,paniculata,ssp. paniculata
Bartonia virginica,Bartonia,virginica,
Bassia hyssopifolia,Bassia,hyssopifolia,
Bassia scoparia,Bassia,scoparia,
Beckmannia syzigachne,Beckmannia,syzigachne,
Bellis perennis,Bellis,perennis,
Berberis aquifolium,Berberis,aquifolium,
Berberis julianae,Berberis,julianae,
Berberis thunbergii,Berberis,thunbergii,
Berberis thunbergii × B. vulgaris = B. ×ottawensis,Berberis,thunbergii × B. vulgaris = B. ×ottawensis,
Berberis vulgaris,Berberis,vulgaris,
Berteroa incana,Berteroa,incana,
Berula erecta,Berula,erecta,
Beta vulgaris,Beta,vulgaris,
Betonica officinalis,Betonica,officinalis,
Betula alleghaniensis,Betula,alleghaniensis,
Betula cordifolia,Betula,cordifolia,
Betula cordifolia × B. populifolia = B. ×caerulea,Betula,cordifolia × B. populifolia = B. ×caerulea,
Betula glandulosa,Betula,glandulosa,
Betula lenta,Betula,lenta,
Betula minor,Betula,minor,
Betula nigra,Betula,nigra,
Betula papyrifera,Betula,papyrifera,
Betula papyrifera × B. pumila = B. ×sandbergii,Betula,papyrifera × B. pumila = B. ×sandbergii,
Betula pendula,Betula,pendula,
Betula populifolia,Betula,populifolia,
Betula pumila,Betula,pumila,
Bidens aristosa,Bidens,aristosa,
Bidens beckii,Bidens,beckii,
Bidens bidentoides,Bidens,bidentoides,
Bidens bipinnata,Bidens,bipinnata,
Bidens cernua,Bidens,cernua,
Bidens connata,Bidens,connata,
Bidens discoidea,Bidens,discoidea,
Bidens eatonii,Bidens,eatonii,
Bidens frondosa,Bidens,frondosa,
Bidens laevis,Bidens,laevis,
Bidens polylepis,Bidens,polylepis,
Bidens tenuisecta,Bidens,tenuisecta,
Bidens trichosperma,Bidens,trichosperma,
Bidens tripartita,Bidens,tripartita,ssp. ?
Bidens tripartita ssp. comosa,Bidens,tripartita,ssp. comosa
Bidens vulgata,Bidens,vulgata,
Blepharipappus scabra,Blepharipappus,scabra,
Blephilia ciliata,Blephilia,ciliata,
Blephilia hirsuta,Blephilia,hirsuta,
Blitum bonus-henricus,Blitum,bonus-henricus,
Blitum capitatum,Blitum,capitatum,ssp. ?
Blitum capitatum ssp. capitatum,Blitum,capitatum,ssp. capitatum
Blitum nuttallianum,Blitum,nuttallianum,
Blitum virgatum,Blitum,virgatum,ssp. ?
Blitum virgatum ssp. virgatum,Blitum,virgatum,ssp. virgatum
Boechera grahamii,Boechera,grahamii,
Boechera stricta,Boechera,stricta,
Boehmeria cylindrica,Boehmeria,cylindrica,
Bolboschoenus fluviatilis,Bolboschoenus,fluviatilis,
Bolboschoenus glaucus,Bolboschoenus,glaucus,
Bolboschoenus maritimus,Bolboschoenus,maritimus,ssp. ?
Bolboschoenus maritimus ssp. paludosus,Bolboschoenus,maritimus,ssp. paludosus
Bolboschoenus novae-angliae,Bolboschoenus,novae-angliae,
Bolboschoenus robustus,Bolboschoenus,robustus,
Boltonia asteroides,Boltonia,asteroides,
Boltonia asteroides,Boltonia,asteroides,var. ?
Boltonia asteroides var. asteroides,Boltonia,asteroides,var. asteroides
Boltonia asteroides var. recognita,Boltonia,asteroides,var. recognita
Borago officinalis,Borago,officinalis,
Borodinia canadensis,Borodinia,canadensis,
Borodinia dentata,Borodinia,dentata,
Borodinia laevigata,Borodinia,laevigata,
Borodinia missouriensis,Borodinia,missouriensis,
Bothriochloa ischaemum,Bothriochloa,ischaemum,var. ?
Bothriochloa ischaemum var. ischaemum,Bothriochloa,ischaemum,var. ischaemum
Botrychium angustisegmentum,Botrychium,angustisegmentum,
Botrychium campestre,Botrychium,campestre,
Botrychium dissectum,Botrychium,dissectum,
Botrychium matricariifolium,Botrychium,matricariifolium,
Botrychium minganense,Botrychium,minganense,
Botrychium multifidum,Botrychium,multifidum,
Botrychium neolunaria,Botrychium,neolunaria,
Botrychium oneidense,Botrychium,oneidense,
Botrychium rugulosum,Botrychium,rugulosum,
Botrychium simplex,Botrychium,simplex,
Botrychium tenebrosum,Botrychium,tenebrosum,
Botrychium virginianum,Botrychium,virginianum,
Bouteloua curtipendula,Bouteloua,curtipendula,var. ?
Bouteloua curtipendula var. curtipendula,Bouteloua,curtipendula,var. curtipendula
Bouteloua gracilis,Bouteloua,gracilis,
Brachyelytrum aristosum,Brachyelytrum,aristosum,
Brachyelytrum erectum,Brachyelytrum,erectum,
Brachypodium sylvaticum,Brachypodium,sylvaticum,ssp. ?
Brachypodium sylvaticum ssp. sylvaticum,Brachypodium,sylvaticum,ssp. sylvaticum
Brasenia schreberi,Brasenia,schreberi,
Brassica juncea,Brassica,juncea,
Brassica napus,Brassica,napus,
Brassica nigra,Brassica,nigra,
Brassica oleracea,Brassica,oleracea,
Brassica rapa,Brassica,rapa,
Briza maxima,Briza,maxima,
Briza media,Briza,media,
Bromus arvensis,Bromus,arvensis,
Bromus briziformis,Bromus,briziformis,
Bromus carinatus,Bromus,carinatus,var. ?
Bromus carinatus var. carinatus,Bromus,carinatus,var. carinatus
Bromus catharticus,Bromus,catharticus,var. ?
Bromus catharticus var. catharticus,Bromus,catharticus,var. catharticus
Bromus ciliatus,Bromus,ciliatus,
Bromus commutatus,Bromus,commutatus,
Bromus danthoniae,Bromus,danthoniae,
Bromus diandrus,Bromus,diandrus,
Bromus erectus,Bromus,erectus,
Bromus hordeaceus,Bromus,hordeaceus,
Bromus inermis,Bromus,inermis,
Bromus japonicus,Bromus,japonicus,
Bromus kalmii,Bromus,kalmii,
Bromus lanceolatus,Bromus,lanceolatus,
Bromus latiglumis,Bromus,latiglumis,
Bromus lepidus,Bromus,lepidus,
Bromus nottowayanus,Bromus,nottowayanus,
Bromus pubescens,Bromus,pubescens,
Bromus racemosus,Bromus,racemosus,
Bromus riparius,Bromus,riparius,
Bromus rubens,Bromus,rubens,
Bromus scoparius,Bromus,scoparius,
Bromus secalinus,Bromus,secalinus,
Bromus squarrosus,Bromus,squarrosus,var. ?
Bromus squarrosus var. squarrosus,Bromus,squarrosus,var. squarrosus
Bromus sterilis,Bromus,sterilis,
Bromus tectorum,Bromus,tectorum,
Broussonetia papyrifera,Broussonetia,papyrifera,
Brunnera macrophylla,Brunnera,macrophylla,
Buchnera americana,Buchnera,americana,
Buddleja alternifolia,Buddleja,alternifolia,
Buddleja davidii,Buddleja,davidii,
Buglossoides arvensis,Buglossoides,arvensis,
Bulbostylis capillaris,Bulbostylis,capillaris,
Bunias orientalis,Bunias,orientalis,
Bupleurum rotundifolium,Bupleurum,rotundifolium,
Butomus umbellatus,Butomus,umbellatus,
